id,level,sector,filiere,degree
01022001R,Niveau 4,Transformation,Spécialités pluri-technologiques des transformations,Agent de contrôle non destructif (MC niveau IV)
01022102S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Boulangerie spécialisée (MC aux CAP)
01022103S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Employé traiteur (MC niveau V)
01022104S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine","Pâtisserie, glacerie, chocolaterie, confiserie spécialisée (MC aux CAP)"
01022105S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Cuisinier en desserts de restaurant (MC niveau V)
01022106W,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Vendeur spécialisé en alimentation (MC niveau V)
01022107S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Boulangerie spécialisée (MC niveau V)
01022108S,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Pâtisserie boulangère (MC V)
01022109T,Niveau 5,Transformation,"Agro-alimentaire, alimentation, cuisine",Art de la cuisine allégée (MC niveau V)
01022304V,Niveau 5,Transformation,"Métallurgie (y compris sidérurgie, fonderie, non ferreux ...)",Joaillerie (MC niveau V)
01022701T,Niveau 5,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Maintenance en équipement thermique individuel (MC aux CAP )
01022703U,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Technicien des services à l'énergie (MC niveau IV)
01022704S,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Technicien en énergies renouvelables option A : énergie électrique (MC niveau IV)
01022705S,Niveau 4,Transformation,"Energie, génie climatique (y compris énergie nucléaire, thermique, hydraulique, utilités : froid, climatis., chauffage)",Technicien en énergies renouvelables option B : énergie thermique (MC niveau IV)
01023202S,Niveau 5,"Génie civil, construction, bois",Bâtiment : construction et couverture,Zinguerie (MC niveau V)
01023302S,Niveau 5,"Génie civil, construction, bois",Bâtiment : finitions,Plaquiste (MC niveau V)
01023304S,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Peinture décoration (MC niveau IV)
01023305W,Niveau 4,"Génie civil, construction, bois",Bâtiment : finitions,Vendeur spécialisé en produits techniques pour l'habitat (MC niveau IV)
01023403S,Niveau 5,"Génie civil, construction, bois",Travail du bois et de l'ameublement,Parqueteur (MC niveau V)
01024201R,Niveau 5,Matériaux souples,Habillement (y compris mode et couture),Essayage-retouche-vente (MC niveau V)
01025002R,Niveau 4,"Mécanique, électricité, électronique",Spécialités pluri-technologiques mécanique-électricité (y compris maintenance mécanique-électricité),Technicien ascensoriste (service et modernisation) (MC niveau IV)
01025119S,Niveau 5,"Mécanique, électricité, électronique","Mécanique générale et de précision, usinage",Opérateur régleur sur machines à commande numérique (MC niveau V)
01025122S,Niveau 4,"Mécanique, électricité, électronique","Mécanique générale et de précision, usinage",Maquettes et prototypes (MC niveau IV)
01025123R,Niveau 4,"Mécanique, électricité, électronique","Mécanique générale et de précision, usinage",Maintenance des Installations Oléohydrauliques et Pneumatiques (MC Niveau IV)
01025206R,Niveau 5,"Mécanique, électricité, électronique",Moteurs et mécanique auto,Maintenance des moteurs diesel et de leurs équipements (MC niveau V)
01025207R,Niveau 5,"Mécanique, électricité, électronique",Moteurs et mécanique auto,Maintenance des moteurs diesel et de leurs équipements (MC niveau V)
01025303R,Niveau 4,"Mécanique, électricité, électronique",Mécanique aéronautique et spatiale,Aéronautique option : avionique (MC niveau IV)
01025305R,Niveau 4,"Mécanique, électricité, électronique",Mécanique aéronautique et spatiale,Aéronautique option : avions à moteurs à turbines (MC niveau IV)
01025405S,Niveau 5,"Mécanique, électricité, électronique","Structures métalliques (y compris soudure, carrosserie, coque bateau, cellule avion)",Soudage (MC niveau V)
01025501R,Niveau 5,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Mise au point : électricité et électronique automobile (MC aux CAP )
01025502S,Niveau 5,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Installation de matériel électronique de sécurité (MC niveau V)
01025507R,Niveau 5,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Maintenance des systèmes embarqués de l'automobile (MC NIVEAU V)
01031101W,Niveau 4,Echanges et gestion,"Transport, manutention, magasinage",Accueil dans les transports (MC niveau IV)
01031102R,Niveau 4,Echanges et gestion,"Transport, manutention, magasinage",Agent transport exploitation ferroviaire (MC niveau IV)
01031103U,Niveau 5,Echanges et gestion,"Transport, manutention, magasinage",Transporteur fluvial (MC de niveau v)
01031201T,Niveau 4,Echanges et gestion,"Commerce, vente","Assistance, conseil, vente à distance (MC niveau IV)"
01031301T,Niveau 4,Echanges et gestion,"Finances, banque, assurances",Services financiers (MC niveau IV)
01032302W,Niveau 4,Communication et information,"Techniques de l'image et du son, métiers connexes du spectacle",Vendeur de produits multimédia (MC niveau IV)
01033001T,Niveau 5,Services aux personnes,Spécialités plurivalentes sanitaires et sociales,Aide à domicile (MC niveau V)
01033101W,Niveau 5,Services aux personnes,Santé,Employé de pharmacie (MC niveau V)
01033408P,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Télébilletterie et services voyages (MC niveau IV)
01033409T,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Accueil-réception (MC niveau IV)
01033410T,Niveau 5,Services aux personnes,"Accueil, hôtellerie, tourisme",Sommellerie (MC niveau V)
01033411T,Niveau 5,Services aux personnes,"Accueil, hôtellerie, tourisme",Employé barman (MC niveau V)
01033412P,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Organisateur de réception (MC niveau IV)
01033413T,Niveau 4,Services aux personnes,"Accueil, hôtellerie, tourisme",Accueil-Réception (MC NIV IV)
01033603T,Niveau 5,Services aux personnes,"Coiffure, esthétique, et autres spécialités des services aux personnes",Styliste visagiste (MC niveau V)
01033604T,Niveau 5,Services aux personnes,"Coiffure, esthétique, et autres spécialités des services aux personnes",Coloriste permanentiste (MC niveau V)
01034301M,Niveau 4,Services à la collectivité,"Nettoyage, assainissement, protection de l'environnement",Métiers de l'eau (MC niveau IV)
01034401T,Niveau 5,Services à la collectivité,"Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité)",Sureté des espaces ouverts au public (MC niveau V)
1301120AG,Niveau 1,Mathématiques et sciences,"Chimie-biologie, biochimie",Qualités chimiques et biologique des atmosphères (DESS)
1301160AF,Niveau 1,Mathématiques et sciences,Chimie,Chimie des matériaux (DESS)
1301180AB,Niveau 1,Mathématiques et sciences,Sciences de la vie,Génie biologique et informatique (DESS)
1301220AB,Niveau 1,Sciences humaines et droit,Economie,Ingénierie de l'intelligence économique (DESS)
1301220DG,Niveau 1,Sciences humaines et droit,Economie,E-logistique et systèmes d'information (DESS)
1301250AG,Niveau 1,Sciences humaines et droit,Linguistique,Industries de la langue (DESS)
1301280AG,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit des assurances (DESS)
1302000FP,Niveau 1,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",Management de la qualité totale (DESS)
1302000GM,Niveau 1,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",Génie des systèmes industriels (DESS)
1302000HP,Niveau 1,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",Management et qualité globale (DESS)
1302000KR,Niveau 1,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",Ingénierie de la sureté de fonctionnement (DESS)
1302200BM,Niveau 1,Transformation,Spécialités pluri-technologiques des transformations,"Matériaux pour la mécanique, la thermique et l'électromagnétisme (DESS)"
1302220AM,Niveau 1,Transformation,Transformations chimiques et apparentées (y compris industrie pharmaceutique),"Industries de la parfumerie, de la cosmétique et des aromes alimentaires spé aromes alimentaires (DESS)"
1302220BM,Niveau 1,Transformation,Transformations chimiques et apparentées (y compris industrie pharmaceutique),"Industries de la parfumerie, de la cosmétique et des aromes alimentaires spé cosmétique (DESS)"
1302220CM,Niveau 1,Transformation,Transformations chimiques et apparentées (y compris industrie pharmaceutique),"Industries de la parfumerie, de la cosmétique et des aromes alimentaires spé parfumerie (DESS)"
1302220GP,Niveau 1,Transformation,Transformations chimiques et apparentées (y compris industrie pharmaceutique),Management des industries de la parfumerie et de la cosmétique (DESS)
1302220HW,Niveau 1,Transformation,Transformations chimiques et apparentées (y compris industrie pharmaceutique),Marketing des aromes et ingrédients agro-alimentaires (DESS)
1302550AN,Niveau 1,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Imagerie électronique (DESS)
1302550BM,Niveau 1,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Intégration des systèmes électriques de puissance (DESS)
1302550CM,Niveau 1,"Mécanique, électricité, électronique","Electricité, électronique (non compris automatismes, productique)",Electronique embarquée et systèmes de communication (DESS)
1303100DP,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Management dynamique humaine et développement de l'organisation (DESS)
1303100EP,Niveau 1,Echanges et gestion,Spécialités plurivalentes des échanges et de la gestion (y compris administr. générale des entreprises et collectivités),Gestion des industries du luxe et des métiers de l'art (DESS)
1303120AT,Niveau 1,Echanges et gestion,"Commerce, vente",Vente (DESS)
1303120BM,Niveau 1,Echanges et gestion,"Commerce, vente",Mercatique opérationnelle (DESS)
1303130CN,Niveau 1,Echanges et gestion,"Finances, banque, assurances",Ingénierie de l'immobilier d'entreprise (DESS)
1303130DM,Niveau 1,Echanges et gestion,"Finances, banque, assurances",Gestion des instruments financiers (DESS)
1303140AM,Niveau 1,Echanges et gestion,"Comptabilité, gestion",Finance d'entreprises (DESS)
1303140CR,Niveau 1,Echanges et gestion,"Comptabilité, gestion",Contrôle de gestion et audit (DESS)
1303140DP,Niveau 1,Echanges et gestion,"Comptabilité, gestion",Management comptable et financier (DESS)
1303150CR,Niveau 1,Echanges et gestion,"Ressources humaines, gestion du personnel, gestion de l'emploi",Contrôle de gestion des services : économie du travail et des ressources humaines (DESS)
1303200BN,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Systèmes d'information multimédias (DESS)
1303200CM,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Communication des entreprises et des institutions (DESS)
1303200FN,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Management de l'intégration des technologies de l'information et de la communication (DESS)
1303200HM,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,"Communication, réseau, image (DESS)"
1303200JP,Niveau 1,Communication et information,Spécialités plurivalentes de la communication,Management et technologie de l'information et de la communication (DESS)
1303250BR,Niveau 1,Communication et information,"Documentation, bibliothèques, administration des données",Information et sécurité (DESS)
1303250CN,Niveau 1,Communication et information,"Documentation, bibliothèques, administration des données",Gestion du patrimoine immatériel de l'entreprise (DESS)
1303260BM,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Téléinformatique : réseaux et applications distribuées (DESS)
1303260DM,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Ingénierie des systèmes d'information (DESS)
1303260EM,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Compétences complémentaires en informatique, productique, réseaux (DESS)"
1303260FN,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données","Applications informatiques à la gestion, aux études et aux multimédia (DESS)"
1303260JM,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Ingénierie des réseaux de santé (DESS)
1303260LM,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Ingénierie des systèmes distribués (DESS)
1303260MM,Niveau 1,Communication et information,"Informatique, traitement de l'information, réseaux de transmission des données",Ingénierie des réseaux et des systèmes (DESS)
1303340AP,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme",Management hôtelier international (DESS)
1303340BP,Niveau 1,Services aux personnes,"Accueil, hôtellerie, tourisme",Organisation et développement du tourisme d affaires (DESS)
1303410BN,Niveau 1,Services à la collectivité,"Aménagement du territoire, développement, urbanisme",Développement social urbain (DESS)
13511002G,Niveau 1,Mathématiques et sciences,Spécialités pluri-scientifiques,"Sciences et technologies : sciences de l'ingénieur, spécialité énergétique et environnement (MASTER PARIS 6)"
13511103F,Niveau 1,Mathématiques et sciences,Physique-chimie,"Sciences, technologies, santé : sciences des matériaux spé méthodes physico-chimiques d'élaboration caractérisation des matériaux microsystèmes en couches minces (MASTER Paris 11)"
13511203G,Niveau 1,Mathématiques et sciences,"Chimie-biologie, biochimie","Sciences, technologies, santé : chimie - matériaux spé analyse et assurance qualité en chimie et biochimie (MASTER PRO PARIS 12)"
13511401B,Niveau 1,Mathématiques et sciences,Mathématiques,"Sciences et technologies : mathématiques, spécialité ingénierie mathématique, informatique et statistique (MASTER Marne la Vallée)"
13511402B,Niveau 1,Mathématiques et sciences,Mathématiques,Sciences technologies santé : mathématiques et ingénierie des mathématiques spé ingénierie des statistiques (MASTER PRO)
13511403B,Niveau 1,Mathématiques et sciences,Mathématiques,"Entreprises, services : ingénierie de l'information, de la décision et des connaissances spé management des risques (MASTER PRO Marne la Vallée)"
13511404B,Niveau 1,Mathématiques et sciences,Mathématiques,"MIDO : mathématiques de la modélisation et de la décision, spécialité ingénierie statistique et financière (MASTER Dauphine)"
13511405B,Niveau 1,Mathématiques et sciences,Mathématiques,Sciences santé applications : mathématiques et informatique spé cryptologie réseaux et protocoles (MASTER Paris 7)
13511503F,Niveau 1,Mathématiques et sciences,Physique,"Sciences, technologies, santé : physique fondamentale et sciences pour l'ingénieur spé ingénierie physique des énergies (MASTER Paris 7)"
13511601A,Niveau 1,Mathématiques et sciences,Chimie,Sciences et technologies : chimie fondamentale et appliquée spé synthèse organique appliquée (MASTER PRO Paris 6)
13511602F,Niveau 1,Mathématiques et sciences,Chimie,Sciences et ingénierie : génie des matériaux spé chimie des matériaux (MASTER Evry)
13511603A,Niveau 1,Mathématiques et sciences,Chimie,Sciences et technologies : chimie spé chimie moléculaire (MASTER Paris 6)
13511703A,Niveau 1,Mathématiques et sciences,Sciences de la terre,Sciences santé et applications : physique fondamentale et sciences pour l'ingénieur spé univers : structure et évolution (MASTER Paris 7)
13511705A,Niveau 1,Mathématiques et sciences,Sciences de la terre,"Droit, économie, gestion: environnement, spécailité génie géologique (MASTER PARIS 11)"
13511802A,Niveau 1,Mathématiques et sciences,Sciences de la vie,"Sciences, santé et applications : infectiologie : microbiologie, virologie, immunologie spé microbiologie appliquée et génie biologique (MASTER Paris 7)"
13511803A,Niveau 1,Mathématiques et sciences,Sciences de la vie,Sciences et technologie : sciences de la vie et de la matière spé contrôle et qualité (MASTER PRO )
13511804G,Niveau 1,Mathématiques et sciences,Sciences de la vie,"Sciences, santé et applications infectiologie - microbiologie, virologie, immunologie : microbio. appliquée et génie biolog. (MASTER PARIS VII)"
13511808A,Niveau 1,Mathématiques et sciences,Sciences de la vie,"Sciences, technologies, santé : biologie et santé, spécialité Microbiologie appliquée et génie biologique (MASTER Paris 11)"
13511812G,Niveau 1,Mathématiques et sciences,Sciences de la vie,"Sciences, technologies, sante : biologie cellulaire, physiologie et pathologies spe ingenierie de plate-forme (MASTER Paris 7)"
13512001G,Niveau 1,Sciences humaines et droit,Spécialités pluridisciplinaires Sciences humaines et droit,Droit public : juriste conseil des collectivités territoriales (MASTER Paris 2)
13512002A,Niveau 1,Sciences humaines et droit,Spécialités pluridisciplinaires Sciences humaines et droit,"Lettres, langues, sciences humaines et sociales : études europeennes et affaires internationales, spécialités projets européens (MASTER PRO CERGY)"
13512003G,Niveau 1,Sciences humaines et droit,Spécialités pluridisciplinaires Sciences humaines et droit,"Sciences des organisations (droit, économie, gestion, sciences sociales) : sciences de la societe spé affaires publiques (MASTER Dauphine)"
13512101G,Niveau 1,Sciences humaines et droit,Géographie,Sciences humaines et sociales : géopolitique spé géopolitique : enjeux territoriaux des rivalités de pouvoirs (MASTER Paris 8)
13512102G,Niveau 1,Sciences humaines et droit,Géographie,Sciences humaines et sociales - géographie et aménagement : géomarketin et stratégies territoriales des entreprises et des insitutions publiques (MASTER PARIS 12)
13512103G,Niveau 1,Sciences humaines et droit,Géographie,"Sciences Humaines et Sociales : Environnement et Développement Durable Spé Biodiversité, Territoires, Environnement (MASTER Bioterre Paris 1)"
13512104G,Niveau 1,Sciences humaines et droit,Géographie,Sciences humaines et sociales : geographie (MASTER Paris 8)
13512202A,Niveau 1,Sciences humaines et droit,Economie,"Ingénierie de l'information de la décision et de la connaissance, spécialité intelligence économique (MASTER)"
13512203G,Niveau 1,Sciences humaines et droit,Economie,"LLSHS : sciences sociales appliquées aux métiers des études, du conseil et de l'intervention spé consultants et chargés d'études socio-économiques (MASTER Paris 7)"
13512204B,Niveau 1,Sciences humaines et droit,Economie,Sciences économiques : économétrie spé ingénierie économique (MASTER Paris 2)
13512205F,Niveau 1,Sciences humaines et droit,Economie,"Sciences politiques et sociales : Sciences Politiques spé défense, géostratégie et dynamiques industrielles (MASTER Paris 2)"
13512207G,Niveau 1,Sciences humaines et droit,Economie,Sciences économiques : monnaie finance spé finance et économétrie (MASTER Paris 2)
13512208G,Niveau 1,Sciences humaines et droit,Economie,"Sciences des organisations (droit, économie, gestion, sciences sociales) : économie et ingénierie financières spé ingénierie économique (MASTER Dauphine)"
13512209B,Niveau 1,Sciences humaines et droit,Economie,Economie : économie quantitative spé techniques d'information et de décision dans l'entreprise (MASTER Paris 1)
13512213G,Niveau 1,Sciences humaines et droit,Economie,Sciences économiques science politique sociologie : économie et affaires internationales : diagnostic conjoncture et prospective de l'économie mondiale (MASTER Dauphine)
13512215G,Niveau 1,Sciences humaines et droit,Economie,"Sciences des organisations (droit, économie, gestion, sciences sociales) : économie internationale et développement spé diagnostic économique international (MASTER Dauphine)"
13512216A,Niveau 1,Sciences humaines et droit,Economie,"Droit, économie, gestion, spécialité économie du développement durable de l'environnement et de l'énergie (MASTER Paris 10)"
13512217G,Niveau 1,Sciences humaines et droit,Economie,"Sciences humaines et sociales : information et communication, intelligence économique et analyse des risques (MASTER MARNE LA VALLEE)"
13512218B,Niveau 1,Sciences humaines et droit,Economie,"Droit, économie, gestion : économie appliquée, spécialité ingénierie de l'évaluation économique (MASTER EVRY)"
13512219G,Niveau 1,Sciences humaines et droit,Economie,"Droit, économie, gestion : expertise économique spé méthode appliquée statistique et économie pour recherche, analyse et traitement de l'information (MASTER PARIS 12)"
13512301A,Niveau 1,Sciences humaines et droit,"Sciences sociales (y compris démographie, anthropologie)",Sciences humaines et sociales : sociologie spé développement social et urbain (MASTER Evry)
13512304G,Niveau 1,Sciences humaines et droit,"Sciences sociales (y compris démographie, anthropologie)",Sciences humaines et sociales : sciences de la société spé sociologie d'enquête (MASTER Paris 5)
13512305A,Niveau 1,Sciences humaines et droit,"Sciences sociales (y compris démographie, anthropologie)",Sciences humaines et sociales : demographie spe expert demographe (MASTER Paris 1)
13512501G,Niveau 1,Sciences humaines et droit,Linguistique,"Langues, lettres, arts, sociétés contemporaines : sciences du langage - didactique des langues didactique du français et des langues (MASTER Paris 3)"
13512502G,Niveau 1,Sciences humaines et droit,Linguistique,"Traduction éditoriale, économique et technique (MASTER Paris 3)"
13512601G,Niveau 1,Sciences humaines et droit,Histoire,Sciences Humaines et Sociales : Histoire Spé Histoire (MASTER Marne La Vallée)
13512803G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit social spé juristes de droit social (MASTER Paris 1)
13512805G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit social spé droit et pratique des relations de travail (MASTER Paris 2)
13512806G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : carrières judiciaires et sciences criminelles spé droit et pratique du procès en appel (MASTER Paris 2)
13512807F,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit européen spé droit de l'agriculture et des filières agroalimentaires (MASTER Paris 1)
13512808G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit public spé collectivités territoriales et politiques publiques (MASTER Cergy)
13512809G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit public : droit sanitaire et social (MASTER Paris 2)
13512813G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit des affaires spé droit fiscal (MASTER Paris 2)
13512814G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit sciences de gestion science politique : droit privé et carrières judiciaires spé droit des ressources humaines et de la protection sociale (MASTER Versailles)
13512815A,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit privé et public des affaires spé droit des assurances et de la responsabilité (MASTER Paris 12)
13512816G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit de l'entreprise spé droit pénal financier (MASTER Cergy)
13512817A,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit européen spé contentieux européens (MASTER Paris 2)
13512820G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit social spé droit de la santé et de la protection sociale (MASTER Paris 10)
13512821A,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, sciences de gestion, science politique : science politique et communication spé politiques de communication (MASTER PRO VSQ)"
13512825G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, sciences de gestion, science politique : droit privé et carrières judiciaires spé droit de l'environnement sécurité et qualité de l'entreprise (MASTER Versailles)"
13512828A,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, sciences de gestion, science politique : droit public spé droit immobilier public (MASTER PRO Univ VSQ)"
13512830G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit : droit de l'entreprise, spécialité droit et éthique des affaires (MASTER CERGY)"
13512831G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit : droit et management, spécialité juriste d'entreprise (MASTER EVRY)"
13512832G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit : droit des affaires spé droit bancaire et financier (MASTER Paris 2)
13512833G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, économie, gestion : droit public spé droit de l'urbanisme et de l'immobilier (MASTER perpignan)"
13512834G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, économie, gestion : droit privé et sciences criminelles spé droit privé et professions judiciaires (MASTER Paris 10)"
13512836G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Sciences des organisations (droit, économie, gestion, sciences sociales) : droit spé juriste financier (MASTER Dauphine)"
13512837G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, économie, gestion : études internationales et europeennes spé sécurité internationale et defense (MASTER Grenoble 2)"
13512839F,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, économie, gestion : droit de la santé spé droit des industries des produits de santé (MASTER Paris 5)"
13512840G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, science politique : droit social spé droit de la protection sociale d'entreprise (MASTER Paris 1)"
13512841G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, science politique : administration publique spé droit de la sécurité sanitaire et alimentaire (MASTER Paris 1)"
13512842G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, économie, gestion : droit prive spé droit et gestion du patrimoine (MASTER Paris 5)"
13512843G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques",Droit privé : droit immobilier et de la construction (MASTER PARIS II)
13512845G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, économie, gestion : droit expertise foncière (MASTER)"
13512849G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Ingénierie immobilière, spécialité droit du financement et des investissements immobiliers (MASTER)"
13512853G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Sciences, technologie, santé : médicaments et autres produits de santé, spécialité affaires réglementaires des industries de santé (MASTER PARIS 11)"
13512854G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit des affaires, spécialité droit des affaires et management (MASTER MBA PARIS 2)"
13512855G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, économie, gestion : droit privé et carrières judiciaires, spécialité droit de la santé (MASTER VERSAILLES)"
13512859G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, Economie, Gestion : Droit Public Spé Droit Immobilier Privé et Public (MASTER Aix Marseille)"
13512860G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Sciences des organisations (droit, économie, gestion, sciences sociales) : droit spé droit du patrimoine professionnel (MASTER Dauphine)"
13512866G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, economie, gestion : droit spe droit social et relations sociales dans l'entreprise (MASTER Paris 13)"
13512867G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, economie, gestion : droit prive spe droit des activites numeriques (MASTER Paris 5)"
13512869G,Niveau 1,Sciences humaines et droit,"Droit, sciences politiques","Droit, economie, gestion : droit prive spe droit notarial:patrimoine et environnement (MASTER Cergy)"
13513001A,Niveau 1,Lettres et arts,Spécialités littéraires et artistiques plurivalentes,"Arts, Lettres, Langues : Lettres, Arts Et Pensée Contemporaine Spé Littérature, Histoire Et Société (MASTER Paris 7)"
13513602G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales","Lettres, langues, sciences humaines et sociales spé langues appliquées, industrie de la langue et traduction spécialisée (MASTER Paris 7)"
13513603G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales","Lettres, langues, sciences humaines et sociales : langues appliquées spé conception de documentation multilingue et multimédia (MASTER Paris 7)"
13513605G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales","Sciences humaines et sociales : langues étrangères appliquées spé traduction spécialisée en Anglais, Espagnol ou Allemand (MASTER Evry)"
13513607G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales","Arts, lettres, langues : langues étrangères appliquées spé langues et affaires économiques internationales (MASTER Paris 3)"
13513608G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales","Arts, lettres, langues : langues et cultures étrangères spé commerce international (MASTER Marne la vallée)"
13513609G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales","Langues, cultures et sociétés du monde : métiers de l'international - relations internationales (MASTER INALCO)"
13513611G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales","Arts, Lettres, Langues : Langues Etrangères Appliquées Spé Traduction Et Terminologie Juridiques Et Financières (MASTER Paris 3)"
13513612G,Niveau 1,Lettres et arts,"Langues vivantes, civilisations étrangères et régionales","Arts, lettres, langues : langues et cultures etrangeres spe traduction specialisee (MASTER Marne La Vallee)"
13520004R,Niveau 1,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",Sciences humaines et sociales : ingénierie des risques spé sécurité dans les institutions les entreprises et les collectivités (MASTER Paris 5)
13520007M,Niveau 1,Spécialités pluritechniques de la production,"Technol. industrielles fondamentales (génie industriel, et procédés de transformation, spécia. à dominante fonctionnelle",Sciences et ingénierie : sciences pour l'ingénieur spé génie des systèmes industriels (MASTER Evry)
13520102M,Niveau 1,Spécialités pluritechniques de la production,"Techno. de commandes des transformations industrielles (automatismes et robotique industriels,informatique industrielle)","Sciences et technologie : sciences de l'ingénieur, spécialité signaux, systèmes, images et robotiques (MASTER PARIS VI)"
