id,level,sector,filiere,degree
40034402T,Niveau 4,Services à la collectivité,"Sécurité des biens et des personnes, police, surveillance (y compris hygiène et sécurité)",Securite-prévention (BAC PRO)
400I0270,Niveau 4,Echanges et gestion,"Commerce, vente","Commerce approfondissement sectoriel : pharmacie,esthetique,cosmétique,parfumerie (BP)"
400I0279,Niveau 4,Transformation,"Agro-alimentaire, alimentation, cuisine",Technicien vente qualité des produits agro-alimentaire (BAC PRO)
400I0324,Niveau 4,Echanges et gestion,"Commerce, vente",Conseiller service client à distance (TP NIV 4)
40122316V,Niveau 4,Transformation,"Métallurgie (y compris sidérurgie, fonderie, non ferreux ...)",Art du bijou option : bijouterie joaillerie (BMA)
40123401V,Niveau 4,"Génie civil, construction, bois",Travail du bois et de l'ameublement,Ebéniste (BMA)
40124106V,Niveau 4,Matériaux souples,Textile,Arts et techniques du tapis et de la tapisserie de lisse (BMA)
40321001P,Niveau 4,"Agriculture, pêche, forêt, espaces verts",Spécialités plurivalentes de l'agronomie et de l'agriculture,Agro-équipement (BAC PRO AG)
40321101P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions végétales, cultures spécialisées et protec. des cultures (horticulture,viticulture,arboriculture fruit. ...)",Conduite et gestion de l'exploitation agricole CGEA spé productions végétales (BAC PRO AG)
40321104P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions végétales, cultures spécialisées et protec. des cultures (horticulture,viticulture,arboriculture fruit. ...)",Productions horticoles spé productions florales et légumières (BAC PRO AG)
40321105P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions végétales, cultures spécialisées et protec. des cultures (horticulture,viticulture,arboriculture fruit. ...)",Productions horticoles spé pépinières (BAC PRO AG)
40321108P,Niveau 4,"Agriculture, pêche, forêt, espaces verts","Productions végétales, cultures spécialisées et protec. des cultures (horticulture,viticulture,arboriculture fruit. ...)",Conduite et gestion de l'exploitation agricole CGEA spé systèmes à dominante cultures (BAC PRO AG)
